GAIN GB ALTAZ DPFU=0.35,0.35 POLY=0.971,1.24E-03,-1.31E-05 /
TSYS GB FT=1.0 INDEX='R1','R2','R3','R4' /
275 21:00.55 215.4 0.0 143.6 184.8 
275 21:01.05 215.2 0.0 143.5 184.7 
275 21:01.55 214.9 0.0 143.3 185.0 
275 21:02.05 214.8 0.0 143.2 185.2 
275 21:02.55 214.6 0.0 143.2 184.5 
275 21:03.05 214.8 0.0 143.3 184.6 
275 21:03.55 214.8 0.0 143.2 184.4 
275 21:04.05 214.7 0.0 143.2 184.3 
275 21:04.55 214.5 0.0 143.1 184.3 
275 21:05.15 214.2 0.0 142.9 184.4 
275 21:05.65 214.5 0.0 143.1 184.4 
275 21:06.15 214.6 0.0 143.1 184.2 
275 21:06.65 214.8 0.0 143.3 185.0 
275 21:07.15 214.9 0.0 143.4 184.7 
275 21:07.65 214.9 0.0 143.4 185.3 
275 21:08.15 214.9 0.0 143.4 185.8 
275 21:08.65 215.2 0.0 143.6 185.5 
275 21:09.15 215.5 0.0 143.8 185.2 
275 21:09.65 216.0 0.0 144.2 186.4 
275 21:10.15 216.1 0.0 144.2 185.6 
275 21:10.65 215.8 0.0 144.0 184.4 
275 21:11.15 215.7 0.0 143.9 185.0 
275 21:11.65 215.9 0.0 144.0 185.2 
275 21:12.15 216.1 0.0 144.2 185.5 
275 21:12.65 215.6 0.0 143.9 185.9 
275 21:13.15 215.8 0.0 143.9 185.7 
275 21:13.65 216.0 0.0 144.1 186.3 
275 21:14.15 215.5 0.0 143.7 185.7 
275 21:14.65 215.2 0.0 143.6 185.3 
275 21:15.15 215.1 0.0 143.5 184.0 
275 21:15.65 215.7 0.0 143.9 185.1 
275 21:16.15 215.6 0.0 143.9 185.2 
275 21:16.65 215.3 0.0 143.7 183.9 
275 21:17.15 216.0 0.0 144.2 183.3 
275 21:17.65 216.1 0.0 144.3 184.0 
275 21:18.15 216.5 0.0 144.5 184.1 
275 21:18.65 216.6 0.0 144.6 183.9 
275 21:19.15 217.1 0.0 145.0 184.4 
275 21:19.65 220.6 0.0 149.2 189.0 
275 21:27.62 458.6 0.0 147.0 187.1 
275 21:28.12 458.6 0.0 147.0 186.2 
275 21:28.62 458.8 0.0 147.1 187.4 
275 21:29.12 458.9 0.0 147.1 187.1 
275 21:29.62 458.9 0.0 147.1 188.4 
275 21:30.12 458.6 0.0 147.1 188.5 
275 21:30.62 459.7 0.0 147.4 189.1 
275 21:31.12 459.8 0.0 147.4 189.3 
275 21:31.62 460.4 0.0 147.7 189.6 
275 21:32.12 460.0 0.0 147.6 189.2 
275 21:32.62 458.9 0.0 147.2 188.7 
275 21:33.12 458.6 0.0 147.1 187.9 
275 21:33.62 458.9 0.0 147.2 188.5 
275 21:34.12 458.4 0.0 147.1 188.4 
275 21:34.62 454.3 0.0 145.2 186.7 
275 21:35.12 449.0 0.0 143.2 184.8 
275 21:35.65 447.8 0.0 142.9 185.0 
275 21:36.15 448.3 0.0 143.4 185.8 
275 21:36.65 448.6 0.0 143.7 186.9 
275 21:37.15 446.1 0.0 142.4 185.0 
275 21:37.65 446.9 0.0 143.0 184.8 
275 21:38.15 448.5 0.0 144.0 185.1 
275 21:38.65 450.4 0.0 144.8 186.6 
275 21:39.15 451.7 0.0 145.3 186.8 
275 21:39.65 451.7 0.0 145.4 187.1 
275 21:40.15 452.2 0.0 145.7 188.2 
275 21:40.65 451.1 0.0 145.3 187.2 
275 21:41.15 451.2 0.0 145.4 186.6 
275 21:41.65 452.8 0.0 145.8 187.5 
275 21:42.15 451.9 0.0 145.5 188.3 
275 21:42.65 452.5 0.0 145.7 188.0 
275 21:43.15 453.1 0.0 145.9 188.0 
275 21:43.65 452.4 0.0 145.6 187.3 
275 21:44.15 451.2 0.0 145.3 187.0 
275 21:44.65 447.7 0.0 144.0 186.2 
275 21:45.15 448.2 0.0 144.3 186.2 
275 21:45.65 447.5 0.0 144.0 186.2 
275 21:46.15 447.2 0.0 143.7 187.0 
275 21:46.65 447.2 0.0 143.7 186.8 
275 21:47.15 448.8 0.0 144.4 186.8 
275 21:47.65 446.9 0.0 143.6 186.0 
275 21:48.15 448.6 0.0 144.1 186.1 
275 21:48.65 448.8 0.0 144.2 186.0 
275 21:49.15 447.3 0.0 143.5 185.7 
275 21:49.65 448.9 0.0 144.1 186.2 
275 21:50.15 456.4 0.0 148.0 190.5 
275 21:58.98 513.1 0.0 161.1 200.4 
275 21:59.48 513.9 0.0 161.3 201.2 
275 21:59.98 516.4 0.0 162.1 202.9 
275 22:00.48 517.1 0.0 162.3 202.7 
275 22:00.98 515.7 0.0 161.9 202.5 
275 22:01.48 514.1 0.0 161.4 201.5 
275 22:01.98 515.3 0.0 161.8 201.7 
275 22:02.48 516.2 0.0 162.1 202.2 
275 22:02.98 516.6 0.0 162.2 202.8 
275 22:03.48 517.2 0.0 162.4 202.7 
275 22:03.98 518.0 0.0 162.7 202.8 
275 22:04.48 518.4 0.0 162.8 203.4 
275 22:04.98 519.2 0.0 163.0 203.4 
275 22:05.48 510.7 0.0 160.4 200.8 
275 22:06.82 469.3 0.0 148.5 188.6 
275 22:07.32 467.2 0.0 147.6 188.8 
275 22:07.82 458.3 0.0 144.4 186.2 
275 22:08.32 455.9 0.0 143.6 185.9 
275 22:08.82 456.1 0.0 144.0 186.2 
275 22:09.32 460.8 0.0 146.1 186.5 
275 22:09.82 463.4 0.0 147.1 187.4 
275 22:10.32 462.8 0.0 147.0 187.7 
275 22:10.82 463.0 0.0 147.1 186.9 
275 22:11.32 463.9 0.0 147.4 188.0 
275 22:11.82 464.0 0.0 147.5 188.2 
275 22:12.32 464.4 0.0 147.6 187.9 
275 22:12.82 465.0 0.0 147.8 187.6 
275 22:13.32 464.8 0.0 147.7 187.4 
275 22:13.82 463.7 0.0 147.4 187.8 
275 22:14.32 463.5 0.0 147.3 187.5 
275 22:14.82 463.6 0.0 147.3 186.9 
275 22:15.32 464.3 0.0 147.5 186.8 
275 22:15.82 464.0 0.0 147.5 186.7 
275 22:16.32 463.7 0.0 147.4 186.1 
275 22:16.82 463.7 0.0 147.4 186.3 
275 22:17.32 464.9 0.0 147.8 186.8 
275 22:17.82 464.9 0.0 147.8 187.9 
275 22:18.32 464.3 0.0 147.6 187.5 
275 22:18.82 465.0 0.0 147.8 187.9 
275 22:19.32 465.6 0.0 148.0 188.3 
275 22:19.82 477.9 0.0 155.5 196.1 
275 22:27.62 443.2 0.0 143.7 182.8 
275 22:28.12 442.5 0.0 143.4 182.8 
275 22:28.62 441.7 0.0 143.1 182.1 
275 22:29.12 441.2 0.0 142.9 181.1 
275 22:29.62 442.7 0.0 143.4 181.3 
275 22:30.12 441.8 0.0 143.1 182.0 
275 22:30.62 442.3 0.0 143.3 182.1 
275 22:31.12 442.1 0.0 143.2 182.7 
275 22:31.62 443.7 0.0 143.7 183.5 
275 22:32.12 443.8 0.0 143.8 183.7 
275 22:32.62 443.4 0.0 143.6 183.4 
275 22:33.12 442.7 0.0 143.4 182.5 
275 22:33.62 444.2 0.0 143.9 183.0 
275 22:34.12 444.5 0.0 143.9 182.9 
275 22:34.62 444.7 0.0 144.0 184.3 
275 22:35.12 444.0 0.0 143.8 182.8 
275 22:35.65 444.4 0.0 143.9 183.2 
275 22:36.15 445.3 0.0 144.2 183.8 
275 22:36.65 445.1 0.0 144.1 184.0 
275 22:37.15 443.6 0.0 143.6 182.5 
275 22:37.65 442.4 0.0 143.2 181.4 
275 22:38.15 443.2 0.0 143.5 181.6 
275 22:38.65 442.2 0.0 143.2 181.5 
275 22:39.15 442.6 0.0 143.3 182.1 
275 22:39.65 443.3 0.0 143.5 182.1 
275 22:40.15 442.9 0.0 143.4 181.2 
275 22:40.65 443.5 0.0 143.6 182.8 
275 22:41.15 445.1 0.0 144.2 183.2 
275 22:41.65 445.4 0.0 144.3 182.3 
275 22:42.15 445.1 0.0 144.2 182.5 
275 22:42.65 445.1 0.0 144.2 182.9 
275 22:43.15 446.4 0.0 144.6 182.9 
275 22:43.65 448.2 0.0 145.2 183.9 
275 22:44.15 448.5 0.0 145.3 183.7 
275 22:44.65 448.2 0.0 145.2 184.0 
275 22:45.15 448.2 0.0 145.2 184.3 
275 22:45.65 447.7 0.0 145.1 183.4 
275 22:46.15 448.8 0.0 145.4 184.6 
275 22:46.65 447.5 0.0 145.1 184.7 
275 22:47.15 448.0 0.0 145.3 185.0 
275 22:47.65 448.5 0.0 145.4 184.7 
275 22:48.15 448.1 0.0 145.3 184.4 
275 22:48.65 448.3 0.0 145.3 183.8 
275 22:49.15 446.5 0.0 144.8 184.0 
275 22:49.65 446.1 0.0 144.7 184.0 
275 22:50.15 448.8 0.0 147.2 185.7 
275 23:07.92 434.1 0.0 140.6 179.5 
275 23:08.42 443.3 0.0 143.9 182.3 
275 23:08.92 442.8 0.0 143.6 182.5 
275 23:09.42 433.6 0.0 140.3 180.1 
275 23:09.92 437.9 0.0 142.5 182.6 
275 23:10.42 440.6 0.0 143.6 183.3 
275 23:10.92 440.0 0.0 143.5 182.7 
275 23:11.42 439.6 0.0 143.4 182.3 
275 23:11.92 440.5 0.0 143.7 182.3 
275 23:12.42 440.3 0.0 143.6 182.7 
275 23:12.92 439.9 0.0 143.5 182.8 
275 23:13.42 440.3 0.0 143.6 183.6 
275 23:13.92 439.3 0.0 143.3 182.2 
275 23:14.42 438.9 0.0 143.2 182.0 
275 23:14.92 439.2 0.0 143.3 182.3 
275 23:15.42 439.6 0.0 143.4 183.0 
275 23:15.92 440.6 0.0 143.7 183.1 
275 23:16.42 440.8 0.0 143.8 182.7 
275 23:16.92 442.0 0.0 144.1 182.6 
275 23:17.42 442.6 0.0 144.3 182.4 
275 23:17.92 442.1 0.0 144.1 182.4 
275 23:18.42 441.7 0.0 144.0 182.8 
275 23:18.92 442.2 0.0 144.2 183.5 
275 23:19.42 441.9 0.0 144.2 183.0 
275 23:19.92 441.8 0.0 144.1 182.4 
275 23:20.42 452.8 0.0 152.8 192.4 
275 23:28.07 457.8 0.0 149.0 187.1 
275 23:28.57 458.1 0.0 149.1 187.7 
275 23:29.07 458.3 0.0 149.2 187.7 
275 23:29.57 457.8 0.0 149.0 187.1 
275 23:30.07 457.6 0.0 149.0 187.2 
275 23:30.57 457.2 0.0 148.9 186.9 
275 23:31.07 456.5 0.0 148.6 186.6 
275 23:31.57 456.0 0.0 148.5 186.7 
275 23:32.07 454.6 0.0 148.0 186.4 
275 23:32.57 453.2 0.0 147.6 185.7 
275 23:33.07 452.9 0.0 147.5 185.4 
275 23:33.57 452.3 0.0 147.3 184.9 
275 23:34.07 452.1 0.0 147.2 185.2 
275 23:34.57 452.5 0.0 147.4 185.1 
275 23:35.07 453.0 0.0 147.6 185.6 
275 23:35.65 453.2 0.0 147.7 184.9 
275 23:36.15 453.4 0.0 147.7 184.7 
275 23:36.65 453.2 0.0 147.7 185.2 
275 23:37.15 453.9 0.0 147.9 186.0 
275 23:37.65 454.0 0.0 147.9 185.4 
275 23:38.15 454.0 0.0 147.9 186.4 
275 23:38.65 452.9 0.0 147.5 185.3 
275 23:39.15 451.4 0.0 147.0 184.4 
275 23:39.65 449.9 0.0 146.5 183.7 
275 23:40.15 449.7 0.0 146.4 183.7 
