! ----- Tsys information for BR -----
! Time range (MJD): 59327.63141204 59328.76770833
! Files searched for swiched power data include:
!   /home/vlba/metadata/switchedpower/br_2021_112_00_15_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_00_24_04.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_00_37_35.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_05_42_17.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_05_51_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_06_16_43.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_06_22_43.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_06_46_12.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_07_37_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_09_01_40.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_09_53_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_18_00_53.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_18_00_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_18_01_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_19_52_38.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_21_32_25.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_23_45_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_23_59_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_113_11_00_01.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_113_15_01_43.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_113_23_59_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_06_20_57.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_06_22_01.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_06_22_57.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_06_27_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_18_25_31.switched_power.xz
TSYS  BR  timeoff = 0.0  FT = 1.0 /
!
! BR C211A   3C84/0   113-15:09:14/113-15:11:54
!  1   7mm A RCP  1 U 689.75MHz  64M  43121.75MHz  5.78
!  2   7mm C LCP  2 U 689.75MHz  64M  43121.75MHz  9.13
113 15:09.517 153.39 117.35 ! 29.36
113 15:10.008 153.25 116.96 ! 29.43
113 15:10.550 153.24 116.27 ! 29.51
113 15:11.092 153.11 116.76 ! 29.59
113 15:11.642 152.11 116.77 ! 29.67
!
! BR C211A   3C84/0   113-15:11:59/113-15:14:40
113 15:12.275 153.48 115.52 ! 29.76
113 15:12.800 152.73 116.30 ! 29.83
113 15:13.308 152.20 116.32 ! 29.91
113 16:15.817 144.51 217.26 149.25 204.56 151.14 190.06 153.56 195.63 ! 10.48
113 16:16.358 144.21 217.02 149.10 204.23 150.42 189.51 153.24 194.77 ! 10.56
113 16:16.908 143.93 216.12 148.70 203.79 150.03 189.12 152.84 194.11 ! 10.65
113 16:17.458 143.75 215.75 148.47 203.19 149.79 188.59 152.46 193.77 ! 10.73
113 16:18.000 143.48 215.45 147.91 202.63 149.25 188.35 152.28 193.61 ! 10.81
113 16:18.542 143.36 215.12 147.89 202.32 148.99 187.89 151.98 193.13 ! 10.89
113 16:19.092 142.88 214.26 147.55 202.24 148.96 187.42 151.32 192.48 ! 10.97
113 16:19.642 142.88 214.02 147.20 201.71 148.51 186.83 150.97 192.13 ! 11.06
113 16:20.183 142.25 213.31 146.59 201.30 148.19 186.26 150.56 191.88 ! 11.14
113 16:20.717 141.37 212.27 145.87 200.36 147.35 185.36 149.69 191.20 ! 11.22
!
! BR C211A   NGC1052/0   113-16:21:29/113-16:25:29
!  1   7mm A RCP  1 U 512.00MHz 128M  42976.00MHz  5.74
!  2   7mm C LCP  2 U 512.00MHz 128M  42976.00MHz  8.56
!  3   7mm A RCP  3 U 640.00MHz 128M  43104.00MHz  5.69
!  4   7mm C LCP  4 U 640.00MHz 128M  43104.00MHz  8.94
!  5   7mm A RCP  5 U 768.00MHz 128M  43232.00MHz  6.36
!  6   7mm C LCP  6 U 768.00MHz 128M  43232.00MHz  10.66
!  7   7mm A RCP  7 U 896.00MHz 128M  43360.00MHz  6.76
!  8   7mm C LCP  8 U 896.00MHz 128M  43360.00MHz  12.80
113 16:21.758 182.62 168.55 210.96 170.90 255.27 170.92 301.04 163.36 ! 11.38
113 16:22.250 181.79 168.36 210.15 170.47 254.43 170.42 299.56 163.05 ! 11.45
113 16:22.750 181.61 167.70 209.62 169.90 253.74 169.97 299.74 162.47 ! 11.52
113 16:23.250 180.91 167.34 209.41 169.59 252.93 169.79 298.83 162.19 ! 11.60
113 16:23.750 180.16 166.97 208.05 169.27 252.42 169.24 296.82 161.79 ! 11.67
113 16:24.250 180.04 166.67 208.49 168.98 251.92 168.90 296.28 161.55 ! 11.75
113 16:24.750 180.18 166.41 207.59 168.44 250.73 168.37 296.39 161.08 ! 11.82
113 16:25.242 179.50 165.56 208.03 167.49 250.73 167.77 294.97 160.49 ! 11.90
!
! BR C211A   NGC1052/0   113-16:30:00/113-16:35:59
!  1   3mm B RCP  1 U 512.00MHz 128M  86076.00MHz  8.69
!  2   3mm D LCP  2 U 512.00MHz 128M  86076.00MHz  12.18
!  3   3mm B RCP  3 U 640.00MHz 128M  86204.00MHz  8.23
!  4   3mm D LCP  4 U 640.00MHz 128M  86204.00MHz  11.65
!  5   3mm B RCP  5 U 768.00MHz 128M  86332.00MHz  7.90
